GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,1999,1999,1999,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,9.6115254,9.6 [5.7-14.6],5.681815,14.580274
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,,,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0,0 [0 - 3.1],0,3.1
TOBACCO_MPOWER_NTCP,Tobacco MPOWER: National tobacco control programmes (NTCP),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mpower--national-control-programmes-%28ntcp%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_govt_obj,Government objectives on tobacco control exist,,Yes,,
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,20.3,20.3 [17.3-23.7],17.3,23.7
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2021,2021,2021,SEAR,South-East Asia,MMR,Myanmar,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_POLSTRATPLAN,"Policies, strategies and plans",,Yes,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-birth-%28years%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,63.9906783,64.0 [63.3-64.6],63.32126864,64.59793161
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,2888.03866,2888,,
TOBACCO_MPOWER_R_TAX,Tobacco Raise taxes: National taxes for tobacco and nicotine products,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--national-taxes-for-and-nicotine-products,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_EXCISEPROPPRICE,Excise tax proportion of price,,. . .,,
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,7.1601287,7.2 [5.6-9.0],5.5880457,9.0105683
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.67592,0.7,,
TOBACCO_MPOWER_W3_MASSMEDIA,Tobacco Warning: W3 anti-tobacco mass-media campaigns,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w3-anti-mass-media-campaigns,2012,2012,2012,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,,No,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,0.002628888,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,8.69757,8.7,,
TOBACCO_MPOWER_W3_MASSMEDIA,Tobacco Warning: W3 anti-tobacco mass-media campaigns,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w3-anti-mass-media-campaigns,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_nat,At least one national mass media campaign ran during the survey period,,. . .,,
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-xdr-tb-cases,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,,,,63,63,,
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (thousands), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-numbers-%28in-millions%29,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,41.2,41.2 [34.7-49.2],34.7,49.2
TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Tobacco Offer help: O2 Availability of tobacco cessation medications,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/offer-help--o2-availability-of-cessation-medications,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_where,Cytisine - place available,,. . .,,
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28crude-estimate%29,1989,1989,1989,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,4.2,4.2 [3.8-4.6],3.8,4.6
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,75.6,75.6 [62.4 - 86],62.4,86
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-stunting-numbers-%28in-millions%29,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,761.7,761.7 [711.2-816.2],711.2,816.2
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,20.2,20.2 [18.1-22.4],18.1,22.4
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.17404,0.2,,
TOBACCO_MPOWER_R_TAXSTRUCTURE,Tobacco Raise taxes: Tobacco tax structure,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--tax-structure,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_excise_retail_price_base,Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT),,—,,
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/chol_05,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3.5,3.5 [3.4-3.7],3.4,3.7
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,45.97762226,46.0 [32.4-62.1],32.43052038,62.053546
TOBACCO_MPOWER_OVERVIEW,"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mpower-overview--monitor--protect-people--offer-help--warn-of-dangers--enforce-bans--raise-taxes,2012,2012,2012,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_Group,Raise taxes on tobacco,4,4,,
TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Tobacco Warning: W1c smokeless tobacco packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1c-smokeless-packaging-health-warnings,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W1_HW_law_C,Law mandates that health warnings appear on smokeless tobacco packages,,No,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,,,,525,525 [197-1010],197,1010
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1997,1997,1997,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,31.9,31.9 [0 - 94.5],0,94.5
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1980,1980,1980,SEAR,South-East Asia,MMR,Myanmar,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,0.17,0.17,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,52.75898154,53,,
TOBACCO_MPOWER_OVERVIEW,"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mpower-overview--monitor--protect-people--offer-help--warn-of-dangers--enforce-bans--raise-taxes,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_M_Group,Monitor tobacco use and prevention policies,4,4,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005,2005,2005,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,68.77164,68.8,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,60.06708353,60.1 [54.3-66.6],54.33078851,66.5679031
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,10348.57647,10 349,,
SA_0000001845,"Average daily intake in grams of alcohol, population (15+)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,1.765194304,1.8 [0.2 - 3.6],0.222912786,3.596199537
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28crude-estimate%29,1987,1987,1987,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,4.4,4.4 [4.0-4.7],4,4.7
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2013,2013,2013,SEAR,South-East Asia,MMR,Myanmar,,,,87,87,,
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,275651.899,275 652 [227 622-323 246],227621.751,323245.732
GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/current-health-expenditure-%28che%29-as-percentage-of-gross-domestic-product-%28gdp%29-%28-%29,2001,2001,2001,SEAR,South-East Asia,MMR,Myanmar,,,,2.16208982,2.16,,
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,1.5,1.5 [0.9-2.5],0.9,2.5
TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/protect-people--p1-smoke-free-places,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P1_healthcare,Smoke-free health-care facilities,,Yes,,
TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2c-smokeless-packaging-health-warnings--other-characteristics,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W14_harm_effects_C,Health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health,,—,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,54.54669738,54.5 [41.0-71.6],41.03441226,71.6165346
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,6.21767,6.2,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1987,1987,1987,SEAR,South-East Asia,MMR,Myanmar,,,,1279,1279,,
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1995,1995,1995,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,9.0562023,9.1 [6.5-12.0],6.539645,11.979746
TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/protect-people--p2-smoke-free-places--additional-characteristics,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P14_funds_for_enforce,Dedicated funds for enforcement of smoke-free laws,,No,,
TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/offer-help--o1-support-for-treatment-of-dependence,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_hosp,Available in hospitals,,Yes in some,,
TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Tobacco Warning: W1c smokeless tobacco packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1c-smokeless-packaging-health-warnings,2022,2022,2022,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W6_font_C,"Font style, font size and colour of health warnings are mandated for smokeless tobacco packaging",,Yes,,
WHS3_43,Pertussis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases,1995,1995,1995,SEAR,South-East Asia,MMR,Myanmar,,,,871,871,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,295.48451,295.5,,
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-prevalence,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,0,0.0 [0.0-0.0],0,0
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,11.117713,11.1 [5.1-19.4],5.0677408,19.381122
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,107.1739056,107.2 [94.9-120.7],94.86006376,120.7404804
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2023,2023,2023,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,39.7,39.7 [17.1-66.4],17.1,66.4
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,,,,84,84,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0,0,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEVERITY,SEVERITY_SEVERE,Severe,1.9,1.9 [0.6-4.4],0.6,4.4
SA_0000001845,"Average daily intake in grams of alcohol, population (15+)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,2005,2005,2005,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,0.552632223,0.6 [0.1 - 1.2],0.059643869,1.171455569
TOBACCO_MPOWER_W2B_TOBACCOSMOKED,"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2b-smoked-packaging-health-warnings--other-characteristics,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory,,No,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2013,2013,2013,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,60.97942743,61,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1990,1990,1990,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,68.25,68.25 [0.1 - 99.7],0.1,99.7
TOBACCO_MPOWER_W2A_CIGARETTES,"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2a-cigarette-packaging-health-warnings--other-characteristics,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W20_flavours_A,Cigarette packaging and labelling must not use descriptors depicting flavours,,No,,
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-tourist-consumption-%28in-litres-of-pure-alcohol%29,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,,,,0.001089989,0.0 [0.0 - 0.0],-0.026001939,0.028464535
NCD_BMI_25C,"Overweight among adults, BMI ≥ 25 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2002,2002,2002,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,15.851016,15.9 [14.0-17.8],14.039899,17.768556
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,,,,2.386383773,2.39 [1.93-2.88],1.932735689,2.87824757
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-age-standardized,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,14.493112,14.5 [10.6-19.1],10.598592,19.111603
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2006,2006,2006,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,1322.722279,1323,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.53212,2.5,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0,0 [0 - 0.5],0,0.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,41.9,41.9 [22.5-65.6],22.5,65.6
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,2247.607,2248 [1706-2762],1706,2762
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3236,3236 [2073-4932],2073,4932
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,7.857546329,8,,
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1998,1998,1998,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,9.8410636,9.8 [5.9-14.9],5.8750607,14.856765
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2021,2021,2021,SEAR,South-East Asia,MMR,Myanmar,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_POLSTRATPLAN,"Policies, strategies and plans",,Don't know,,
